"","X.1","X","id","stationid","stationname","sampledate","sampletime","parameter","qualifier","result","unit","method","type","county","description","beachname","latitude","longitude","createdate","sourcefile","date","month"
"22756",46240,46648,299,299,"DPH-108","2017-03-13","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-16 11:59:12","DPH_108.csv","2017-03-16 11:59:12",3
"22757",46241,46649,299,299,"DPH-108","2017-03-13","09:15:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-16 11:59:12","DPH_108.csv","2017-03-16 11:59:12",3
"22758",46242,46650,299,299,"DPH-108","2017-03-06","09:15:00","Enterococcus","=",20,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-16 11:36:17","DPH_108.csv","2017-03-16 11:36:17",3
"22759",46243,46651,299,299,"DPH-108","2017-03-06","09:15:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-16 11:36:17","DPH_108.csv","2017-03-16 11:36:17",3
"22760",46244,46652,299,299,"DPH-108","2017-03-06","09:15:00","Total Coliforms","=",52,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-16 11:36:17","DPH_108.csv","2017-03-16 11:36:17",3
"22761",46245,46653,299,299,"DPH-108","2017-02-27","09:15:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-02 16:37:24","DPH_108.csv","2017-03-02 16:37:24",2
"22762",46246,46654,299,299,"DPH-108","2017-02-27","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-02 16:37:24","DPH_108.csv","2017-03-02 16:37:24",2
"22763",46247,46655,299,299,"DPH-108","2017-02-27","09:15:00","Total Coliforms","=",41,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-03-02 16:37:24","DPH_108.csv","2017-03-02 16:37:24",2
"22764",46248,46656,299,299,"DPH-108","2017-02-21","09:15:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:52:02","DPH_108.csv","2017-02-23 12:52:02",2
"22765",46249,46657,299,299,"DPH-108","2017-02-21","09:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:52:02","DPH_108.csv","2017-02-23 12:52:02",2
"22766",46250,46658,299,299,"DPH-108","2017-02-21","09:15:00","Total Coliforms","=",171,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:52:02","DPH_108.csv","2017-02-23 12:52:02",2
"22767",46251,46659,299,299,"DPH-108","2017-02-13","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:49:57","DPH_108.csv","2017-02-23 12:49:57",2
"22768",46252,46660,299,299,"DPH-108","2017-02-13","09:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:49:57","DPH_108.csv","2017-02-23 12:49:57",2
"22769",46253,46661,299,299,"DPH-108","2017-02-13","09:15:00","Total Coliforms","=",96,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-23 12:49:57","DPH_108.csv","2017-02-23 12:49:57",2
"22770",46254,46662,299,299,"DPH-108","2017-02-06","09:15:00","Enterococcus","=",443,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:50:33","DPH_108.csv","2017-02-09 12:50:33",2
"22771",46255,46663,299,299,"DPH-108","2017-02-06","09:15:00","Fecal Coliforms","=",341,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:50:33","DPH_108.csv","2017-02-09 12:50:33",2
"22772",46256,46664,299,299,"DPH-108","2017-02-06","09:15:00","Total Coliforms","=",8164,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:50:33","DPH_108.csv","2017-02-09 12:50:33",2
"22773",46257,46665,299,299,"DPH-108","2017-01-30","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:47:35","DPH_108.csv","2017-02-09 12:47:35",1
"22774",46258,46666,299,299,"DPH-108","2017-01-30","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:47:35","DPH_108.csv","2017-02-09 12:47:35",1
"22775",46259,46667,299,299,"DPH-108","2017-01-30","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-02-09 12:47:35","DPH_108.csv","2017-02-09 12:47:35",1
"22776",46260,46668,299,299,"DPH-108","2017-01-23","09:15:00","Enterococcus","=",888,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:48:05","DPH_108.csv","2017-01-26 15:48:05",1
"22777",46261,46669,299,299,"DPH-108","2017-01-23","09:15:00","Fecal Coliforms","=",301,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:48:04","DPH_108.csv","2017-01-26 15:48:04",1
"22778",46262,46670,299,299,"DPH-108","2017-01-23","09:15:00","Total Coliforms","=",6867,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:48:04","DPH_108.csv","2017-01-26 15:48:04",1
"22779",46263,46671,299,299,"DPH-108","2017-01-17","09:15:00","Enterococcus","=",20,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:43:20","DPH_108.csv","2017-01-26 15:43:20",1
"22780",46264,46672,299,299,"DPH-108","2017-01-17","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:43:20","DPH_108.csv","2017-01-26 15:43:20",1
"22781",46265,46673,299,299,"DPH-108","2017-01-17","09:15:00","Total Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:43:20","DPH_108.csv","2017-01-26 15:43:20",1
"22782",46266,46674,299,299,"DPH-108","2017-01-09","09:15:00","Enterococcus","=",820,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:41:23","DPH_108.csv","2017-01-26 15:41:23",1
"22783",46267,46675,299,299,"DPH-108","2017-01-09","09:15:00","Fecal Coliforms","=",160,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:41:23","DPH_108.csv","2017-01-26 15:41:23",1
"22784",46268,46676,299,299,"DPH-108","2017-01-09","09:15:00","Total Coliforms","=",4352,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-26 15:41:23","DPH_108.csv","2017-01-26 15:41:23",1
"22785",46269,46677,299,299,"DPH-108","2017-01-03","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:14:11","DPH_108.csv","2017-01-11 16:14:11",1
"22786",46270,46678,299,299,"DPH-108","2017-01-03","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:14:11","DPH_108.csv","2017-01-11 16:14:11",1
"22787",46271,46679,299,299,"DPH-108","2017-01-03","09:15:00","Total Coliforms","=",231,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:14:11","DPH_108.csv","2017-01-11 16:14:11",1
"22788",46272,46680,299,299,"DPH-108","2016-12-27","09:15:00","Enterococcus","=",31,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:07:09","DPH_108.csv","2017-01-11 16:07:09",12
"22789",46273,46681,299,299,"DPH-108","2016-12-27","09:15:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:07:09","DPH_108.csv","2017-01-11 16:07:09",12
"22790",46274,46682,299,299,"DPH-108","2016-12-27","09:15:00","Total Coliforms","=",203,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2017-01-11 16:07:09","DPH_108.csv","2017-01-11 16:07:09",12
"22791",46275,46683,299,299,"DPH-108","2016-12-19","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:57:54","DPH_108.csv","2016-12-27 15:57:54",12
"22792",46276,46684,299,299,"DPH-108","2016-12-19","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:57:54","DPH_108.csv","2016-12-27 15:57:54",12
"22793",46277,46685,299,299,"DPH-108","2016-12-19","09:15:00","Total Coliforms","=",189,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:57:54","DPH_108.csv","2016-12-27 15:57:54",12
"22794",46278,46686,299,299,"DPH-108","2016-12-12","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:51:34","DPH_108.csv","2016-12-27 15:51:34",12
"22795",46279,46687,299,299,"DPH-108","2016-12-12","09:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:51:34","DPH_108.csv","2016-12-27 15:51:34",12
"22796",46280,46688,299,299,"DPH-108","2016-12-12","09:15:00","Total Coliforms","=",41,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-27 15:51:34","DPH_108.csv","2016-12-27 15:51:34",12
"22797",46281,46689,299,299,"DPH-108","2016-12-05","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-13 09:18:37","DPH_108.csv","2016-12-13 09:18:37",12
"22798",46282,46690,299,299,"DPH-108","2016-12-05","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-13 09:18:37","DPH_108.csv","2016-12-13 09:18:37",12
"22799",46283,46691,299,299,"DPH-108","2016-12-05","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-13 09:18:37","DPH_108.csv","2016-12-13 09:18:37",12
"22800",46284,46692,299,299,"DPH-108","2016-11-28","09:15:00","Enterococcus","=",63,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-05 11:38:35","DPH_108.csv","2016-12-05 11:38:35",11
"22801",46285,46693,299,299,"DPH-108","2016-11-28","09:15:00","Fecal Coliforms","=",97,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-05 11:38:35","DPH_108.csv","2016-12-05 11:38:35",11
"22802",46286,46694,299,299,"DPH-108","2016-11-28","09:15:00","Total Coliforms","=",359,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-12-05 11:38:35","DPH_108.csv","2016-12-05 11:38:35",11
"22803",46287,46695,299,299,"DPH-108","2016-11-21","09:15:00","Enterococcus","=",1014,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:25:40","DPH_108.csv","2016-11-23 12:25:40",11
"22804",46288,46696,299,299,"DPH-108","2016-11-21","09:15:00","Fecal Coliforms","=",548,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:25:40","DPH_108.csv","2016-11-23 12:25:40",11
"22805",46289,46697,299,299,"DPH-108","2016-11-21","09:15:00","Total Coliforms",">",24196,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:25:40","DPH_108.csv","2016-11-23 12:25:40",11
"22806",46290,46698,299,299,"DPH-108","2016-11-17","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:23:46","DPH_108.csv","2016-11-23 12:23:46",11
"22807",46291,46699,299,299,"DPH-108","2016-11-17","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:23:46","DPH_108.csv","2016-11-23 12:23:46",11
"22808",46292,46700,299,299,"DPH-108","2016-11-17","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:23:46","DPH_108.csv","2016-11-23 12:23:46",11
"22809",46293,46701,299,299,"DPH-108","2016-11-14","09:15:00","Enterococcus","=",122,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:21:05","DPH_108.csv","2016-11-23 12:21:05",11
"22810",46294,46702,299,299,"DPH-108","2016-11-14","09:15:00","Fecal Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:21:05","DPH_108.csv","2016-11-23 12:21:05",11
"22811",46295,46703,299,299,"DPH-108","2016-11-14","09:15:00","Total Coliforms","=",384,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:21:05","DPH_108.csv","2016-11-23 12:21:05",11
"22812",46296,46704,299,299,"DPH-108","2016-11-07","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:18:59","DPH_108.csv","2016-11-23 12:18:59",11
"22813",46297,46705,299,299,"DPH-108","2016-11-07","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:18:59","DPH_108.csv","2016-11-23 12:18:59",11
"22814",46298,46706,299,299,"DPH-108","2016-11-07","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-11-23 12:18:59","DPH_108.csv","2016-11-23 12:18:59",11
"22815",46379,46788,299,299,"DPH-108","2016-04-25","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:06:00","DPH_108.csv","2016-05-11 13:06:00",4
"22816",46380,46789,299,299,"DPH-108","2016-04-25","09:15:00","Fecal Coliforms","=",31,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:06:00","DPH_108.csv","2016-05-11 13:06:00",4
"22817",46381,46790,299,299,"DPH-108","2016-04-25","09:15:00","Total Coliforms","=",63,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:06:00","DPH_108.csv","2016-05-11 13:06:00",4
"22818",46382,46791,299,299,"DPH-108","2016-04-18","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:27:23","DPH_108.csv","2016-04-21 09:27:23",4
"22819",46383,46792,299,299,"DPH-108","2016-04-18","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:27:23","DPH_108.csv","2016-04-21 09:27:23",4
"22820",46384,46793,299,299,"DPH-108","2016-04-18","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:27:23","DPH_108.csv","2016-04-21 09:27:23",4
"22821",46385,46794,299,299,"DPH-108","2016-04-11","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:45:49","DPH_108.csv","2016-04-21 09:45:49",4
"22822",46386,46795,299,299,"DPH-108","2016-04-11","09:15:00","Fecal Coliforms","=",63,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:45:49","DPH_108.csv","2016-04-21 09:45:49",4
"22823",46387,46796,299,299,"DPH-108","2016-04-11","09:15:00","Total Coliforms","=",228,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-21 09:45:49","DPH_108.csv","2016-04-21 09:45:49",4
"22824",46388,46797,299,299,"DPH-108","2016-04-04","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:08:03","DPH_108.csv","2016-04-06 16:08:03",4
"22825",46389,46798,299,299,"DPH-108","2016-04-04","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:08:03","DPH_108.csv","2016-04-06 16:08:03",4
"22826",46390,46799,299,299,"DPH-108","2016-04-04","09:15:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:08:03","DPH_108.csv","2016-04-06 16:08:03",4
"22827",46391,46800,299,299,"DPH-108","2016-03-28","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:05:42","DPH_108.csv","2016-04-06 16:05:42",3
"22828",46392,46801,299,299,"DPH-108","2016-03-28","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:05:42","DPH_108.csv","2016-04-06 16:05:42",3
"22829",46393,46802,299,299,"DPH-108","2016-03-28","09:15:00","Total Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-04-06 16:05:42","DPH_108.csv","2016-04-06 16:05:42",3
"22830",46394,46803,299,299,"DPH-108","2016-03-21","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 12:00:18","DPH_108.csv","2016-03-28 12:00:18",3
"22831",46395,46804,299,299,"DPH-108","2016-03-21","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 12:00:18","DPH_108.csv","2016-03-28 12:00:18",3
"22832",46396,46805,299,299,"DPH-108","2016-03-21","09:15:00","Total Coliforms","=",20,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 12:00:18","DPH_108.csv","2016-03-28 12:00:18",3
"22833",46397,46806,299,299,"DPH-108","2016-03-14","09:15:00","Enterococcus","=",10,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:57:00","DPH_108.csv","2016-03-28 11:57:00",3
"22834",46398,46807,299,299,"DPH-108","2016-03-14","09:15:00","Fecal Coliforms","=",107,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:57:00","DPH_108.csv","2016-03-28 11:57:00",3
"22835",46399,46808,299,299,"DPH-108","2016-03-14","09:15:00","Total Coliforms","=",250,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:57:00","DPH_108.csv","2016-03-28 11:57:00",3
"22836",46400,46809,299,299,"DPH-108","2016-03-07","09:15:00","Enterococcus","=",985,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:54:59","DPH_108.csv","2016-03-28 11:54:59",3
"22837",46401,46810,299,299,"DPH-108","2016-03-07","09:15:00","Fecal Coliforms","=",216,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:54:59","DPH_108.csv","2016-03-28 11:54:59",3
"22838",46402,46811,299,299,"DPH-108","2016-03-07","09:15:00","Total Coliforms","=",17329,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:54:59","DPH_108.csv","2016-03-28 11:54:59",3
"22839",46403,46812,299,299,"DPH-108","2016-02-29","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:52:50","DPH_108.csv","2016-03-28 11:52:50",2
"22840",46404,46813,299,299,"DPH-108","2016-02-29","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:52:50","DPH_108.csv","2016-03-28 11:52:50",2
"22841",46405,46814,299,299,"DPH-108","2016-02-29","09:15:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-03-28 11:52:50","DPH_108.csv","2016-03-28 11:52:50",2
"22842",46406,46818,299,299,"DPH-108","2016-02-22","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:03:02","DPH_108.csv","2016-02-25 08:03:02",2
"22843",46407,46819,299,299,"DPH-108","2016-02-22","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:03:02","DPH_108.csv","2016-02-25 08:03:02",2
"22844",46408,46820,299,299,"DPH-108","2016-02-22","09:15:00","Total Coliforms","=",30,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:03:02","DPH_108.csv","2016-02-25 08:03:02",2
"22845",46409,46821,299,299,"DPH-108","2016-02-16","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:00:45","DPH_108.csv","2016-02-25 08:00:45",2
"22846",46410,46822,299,299,"DPH-108","2016-02-16","09:15:00","Fecal Coliforms","<",5,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:00:45","DPH_108.csv","2016-02-25 08:00:45",2
"22847",46411,46823,299,299,"DPH-108","2016-02-16","09:15:00","Total Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-25 08:00:45","DPH_108.csv","2016-02-25 08:00:45",2
"22848",46412,46824,299,299,"DPH-108","2016-02-09","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:18:32","DPH_108.csv","2016-05-11 13:18:32",2
"22849",46413,46825,299,299,"DPH-108","2016-02-09","09:15:00","Fecal Coliforms","=",10,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:18:32","DPH_108.csv","2016-05-11 13:18:32",2
"22850",46414,46826,299,299,"DPH-108","2016-02-09","09:15:00","Total Coliforms","=",884,"MPN/100ml","Colilert 18","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-05-11 13:18:32","DPH_108.csv","2016-05-11 13:18:32",2
"22851",46415,46827,299,299,"DPH-108","2016-02-08","09:15:00","Enterococcus","<",5,"MPN/100ml","Enterolert","Results","Los Angeles","Venice Pier on Venice City Beach","Venice City Beach",33.97826,-118.46714,"2016-02-18 08:23:58","DPH_108.csv","2016-02-18 08:23:58",2
